   5.253000259400000E-01   7.428864210000000E-01   5.253000259400000E-01   5.253000259400000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.241453252900000E-01   7.412534276700000E-01   5.241453252900000E-01   5.241453252900000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.229906246300000E-01   7.396204343500000E-01   5.229906246300000E-01   5.229906246300000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.206812233200000E-01   7.363544477000000E-01   5.206812233200000E-01   5.206812233200000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.160624207100000E-01   7.298224744000000E-01   5.160624207100000E-01   5.160624207100000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.102889174400000E-01   7.216575077700000E-01   5.102889174400000E-01   5.102889174400000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   5.045154141700000E-01   7.134925411500000E-01   5.045154141700000E-01   5.045154141700000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.987419109000000E-01   7.053275745199999E-01   4.987419109000000E-01   4.987419109000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.929684076300000E-01   6.971626078900000E-01   4.929684076300000E-01   4.929684076300000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.871949043600000E-01   6.889976412700000E-01   4.871949043600000E-01   4.871949043600000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.814214010900000E-01   6.808326746400000E-01   4.814214010900000E-01   4.814214010900000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.756478978200000E-01   6.726677080200000E-01   4.756478978200000E-01   4.756478978200000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.698743945600000E-01   6.645027413900000E-01   4.698743945600000E-01   4.698743945600000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.641008912900000E-01   6.563377747700000E-01   4.641008912900000E-01   4.641008912900000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.583273880200000E-01   6.481728081400000E-01   4.583273880200000E-01   4.583273880200000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.525538847500000E-01   6.400078415100000E-01   4.525538847500000E-01   4.525538847500000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.467803814800000E-01   6.318428748900000E-01   4.467803814800000E-01   4.467803814800000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.410068782100000E-01   6.236779082600000E-01   4.410068782100000E-01   4.410068782100000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.352333749400000E-01   6.155129416400000E-01   4.352333749400000E-01   4.352333749400000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.294598716700000E-01   6.073479750100000E-01   4.294598716700000E-01   4.294598716700000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.236863684000000E-01   5.991830083900000E-01   4.236863684000000E-01   4.236863684000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.179128651300000E-01   5.910180417599999E-01   4.179128651300000E-01   4.179128651300000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.121393618600000E-01   5.828530751300000E-01   4.121393618600000E-01   4.121393618600000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.063658585900000E-01   5.746881085100000E-01   4.063658585900000E-01   4.063658585900000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.005923553200000E-01   5.665231418800000E-01   4.005923553200000E-01   4.005923553200000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   4.000015166800000E-01   5.656875698600000E-01   4.000015166800000E-01   4.000015166800000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   3.942280134100000E-01   5.575226032300000E-01   3.942280134100000E-01   3.942280134100000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   3.884545101400000E-01   5.493576366100000E-01   3.884545101400000E-01   3.884545101400000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   3.826810068700000E-01   5.411926699800000E-01   3.826810068700000E-01   3.826810068700000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   3.769075036000000E-01   5.330277033500000E-01   3.769075036000000E-01   3.769075036000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   3.711340003300000E-01   5.248627367299999E-01   3.711340003300000E-01   3.711340003300000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
