,line_id,stability
0,1,26
1,1,-96
2,2,2446
3,2,-3017
4,2,8017
5,3,-89
6,3,392
7,3,-481
8,4,3607
9,4,-4999
10,4,5300
11,5,783
12,5,-3180
13,5,3699
14,5,-6096
15,5,6879
16,6,1
17,6,-52
18,6,57
19,6,-152
20,6,183
21,7,1
22,7,-43
23,7,83
24,7,-147
25,7,187
26,7,-200
27,8,52
28,8,-78
29,8,90
30,9,52
31,9,-70
