,branch_type,is_periodic,var_1,var_2
0,BP,F,dR,dH
1,HB,F,dR,dH
2,HB,F,dR,dH
3,HB,F,dR,dH
4,HB,F,dR,dH
5,HB,F,dR,dH
6,HB,F,dR,dH
7,HB,F,dR,dH
8,HB,F,dR,dH
9,HB,F,dR,dH
10,HB,F,dR,dH
11,HB,F,dR,dH
12,HB,F,dR,dH
13,HB,F,dR,dH
14,BP,F,dH,dP
15,HB,F,dH,dP
16,HB,F,dH,dP
17,HB,F,dH,dP
18,HB,F,dP,dH
19,BP,F,dP,dR
20,HB,F,dP,dR
21,HB,F,dP,dR
22,HB,F,dR,dP
23,HB,F,dR,dP
24,BP,T,dR,dP
25,LP,T,dR,dP
26,BP,T,dR,dH
27,LP,T,dR,dH
28,BP,T,dH,dP
29,LP,T,dH,dP
