,branch_type,is_periodic,var_1,var_2
0,No Label,F,K,H_1
1,No Label,F,K,H_1
2,No Label,F,K,H_1
3,No Label,F,K,H_1
4,No Label,F,K,H_1
5,No Label,T,K,H_1
6,No Label,T,K,H_1
7,No Label,T,K,H_1
8,No Label,T,K,H_1
